 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
43.3975,9.76912,0.243626,2.87647,-8.94538,8.52173,0.0457685,-0.0319821,-0.0026037,0.0458556,-0.0320692,-0.0334379,0.0359332,1268,690,25.5059,93.8431,44.8587,50.2018,30.1441,-42.0783
44.1356,9.77877,0.276096,2.89561,-8.98736,8.50644,0.0456362,-0.0308127,-0.00247957,0.0457165,-0.0308931,-0.032389,0.0364657,1275,690,25.7407,94.215,44.8436,50.4428,29.8683,-42.2386
44.8738,9.78526,0.31301,2.91512,-9.05182,8.35091,0.0451175,-0.0297256,-0.00214292,0.0451788,-0.029787,-0.0286009,0.0363064,1282,690,26.0104,94.6235,45.0616,50.8264,29.5881,-42.3301
45.6117,9.78341,0.340936,0,0,0,0,0,0,0,0,0,-1,1289,690,0,0,0,0,29.3237,-42.2824
46.3503,9.78328,0.403876,2.93472,-9.16489,8.05451,0.0437833,-0.0281703,-0.00195712,0.0438365,-0.0282235,-0.027173,0.0406646,1296,690,26.3546,95.3976,45.2676,51.693,29.0112,-42.1946
47.0874,9.78354,0.409581,2.94529,-9.19689,8.04897,0.0431465,-0.0274537,-0.00183234,0.043194,-0.0275013,-0.0259305,0.042735,1303,690,26.501,95.6926,45.1966,51.9632,28.78,-42.2331
47.8244,9.78946,0.406935,2.9688,-9.23052,8.0725,0.0428373,-0.0267961,-0.00150223,0.0428697,-0.0268285,-0.02156,0.0414694,1310,690,26.7649,96.0753,45.2108,52.1142,28.5607,-42.3958
48.5608,9.79203,0.37955,3.02433,-9.23791,8.30091,0.0425722,-0.0262789,-0.00114245,0.0425911,-0.0262978,-0.016587,0.0363969,1317,690,27.2955,96.4113,45.2246,52.2845,28.3781,-42.5466
49.2948,9.77616,0.239768,3.08704,-9.23187,8.5939,0.0421511,-0.0260348,-0.000754141,0.0421595,-0.0260432,-0.0110583,0.0313,1324,690,27.8831,96.6757,45.3637,52.5145,28.358,-42.5827
50.0291,9.76359,0.113439,3.14348,-9.23025,8.85038,0.0410558,-0.025843,-0.000350765,0.0410576,-0.0258449,-0.00524302,0.0322559,1331,690,28.4214,96.9299,45.4894,52.7244,28.3197,-42.6529
50.7663,9.76492,0.118461,3.17272,-9.25626,8.90744,0.0400357,-0.0259564,9.77722e-05,0.0400358,-0.0259565,0.00148157,0.0337749,1338,690,28.7406,97.203,45.5037,53.023,28.0961,-42.7129
51.5057,9.78042,0.234644,3.18141,-9.30254,8.83114,0.0394604,-0.0261444,0.000567652,0.0394653,-0.0261493,0.00865173,0.0348969,1345,690,28.8886,97.5693,45.3863,53.2934,27.7152,-42.8095
52.2435,9.78065,0.276538,3.1941,-9.34054,8.80478,0.0392413,-0.0263431,0.000965645,0.0392556,-0.0263574,0.0147194,0.0369749,1352,690,29.0636,97.9574,45.3327,53.6192,27.4429,-42.7721
52.9797,9.77242,0.244453,3.21785,-9.36746,8.85613,0.0390647,-0.0265579,0.00154029,0.0391008,-0.026594,0.0234547,0.0380657,1359,690,29.3303,98.3561,45.3636,53.8929,27.2773,-42.7283
53.7157,9.7674,0.19037,3.25146,-9.37704,8.97378,0.0385516,-0.0266157,0.0022166,0.038627,-0.026691,0.0339617,0.036974,1366,690,29.6821,98.6093,45.4108,54.0239,27.1431,-42.791
54.4516,9.76446,0.133529,3.28,-9.38999,8.98454,0.0379253,-0.0260973,0.00272922,0.0380414,-0.0262134,0.0425262,0.0337111,1373,690,30.0016,98.6955,45.5842,54.1009,27.0138,-42.8986
55.1881,9.76301,0.10835,3.30767,-9.39698,8.99922,0.0374967,-0.0256026,0.00309428,0.0376481,-0.025754,0.048882,0.0335322,1380,690,30.3134,98.7056,45.6991,54.1941,26.8412,-42.9688
55.9246,9.7598,0.0798271,3.32556,-9.40525,9.04552,0.0370974,-0.0252425,0.00346241,0.0372891,-0.0254342,0.0553141,0.0362881,1387,690,30.5276,98.8105,45.6814,54.3136,26.675,-43.0123
